"TIME (Europe/Berlin)","Liquidity in USD"
"2021-11-13 14:00:00",7605.19
"2021-11-13 15:00:00",12455.8
"2021-11-13 16:00:00",10647.62
"2021-11-13 17:00:00",9525.24
"2021-11-13 18:00:00",9545.37
"2021-11-13 19:00:00",9481.9
"2021-11-13 20:00:00",9461.39
"2021-11-13 21:00:00",9495.5
"2021-11-13 22:00:00",10406.74
"2021-11-13 23:00:00",10373.16
"2021-11-14 00:00:00",10383.17
"2021-11-14 01:00:00",10453.5
"2021-11-14 02:00:00",10421.15
"2021-11-14 03:00:00",10365.05
"2021-11-14 04:00:00",10348.02
"2021-11-14 05:00:00",10358.58
"2021-11-14 06:00:00",10374.81
"2021-11-14 07:00:00",10369.25
"2021-11-14 08:00:00",10282.75
"2021-11-14 09:00:00",10250.18
"2021-11-14 10:00:00",9549.44
"2021-11-14 11:00:00",23400.96
"2021-11-14 12:00:00",25697.46
"2021-11-14 13:00:00",25740.13
"2021-11-14 14:00:00",25703.65
"2021-11-14 15:00:00",25601.4
"2021-11-14 16:00:00",23958.44
"2021-11-14 17:00:00",23716.71
"2021-11-14 18:00:00",23805.88
"2021-11-14 19:00:00",23767.42
"2021-11-14 20:00:00",23748.66
"2021-11-14 21:00:00",26061.44
"2021-11-14 22:00:00",26197.25
"2021-11-14 23:00:00",26200.88
"2021-11-15 00:00:00",26489.07
"2021-11-15 01:00:00",26775.33
"2021-11-15 02:00:00",27005.69
"2021-11-15 03:00:00",26887.99
"2021-11-15 04:00:00",28814.79
"2021-11-15 05:00:00",28838.32
"2021-11-15 06:00:00",28760.13
"2021-11-15 07:00:00",28771.49
"2021-11-15 08:00:00",34483.67
"2021-11-15 09:00:00",34748.84
"2021-11-15 10:00:00",34786.02
"2021-11-15 11:00:00",34854.25
"2021-11-15 12:00:00",34779.41
"2021-11-15 13:00:00",34913.55
"2021-11-15 14:00:00",37617.4
"2021-11-15 15:00:00",32961.18
"2021-11-15 16:00:00",32718.52
"2021-11-15 17:00:00",32441.57
"2021-11-15 18:00:00",32423
"2021-11-15 19:00:00",32261.5
"2021-11-15 20:00:00",32359.53
"2021-11-15 21:00:00",32107.28
"2021-11-15 22:00:00",31223.56
"2021-11-15 23:00:00",31283.03
"2021-11-16 00:00:00",31155.15
"2021-11-16 01:00:00",26924.2
"2021-11-16 02:00:00",26712.51
"2021-11-16 03:00:00",26387.18
"2021-11-16 04:00:00",26157.89
"2021-11-16 05:00:00",26383.28
"2021-11-16 06:00:00",26324.91
"2021-11-16 07:00:00",27546.07
"2021-11-16 08:00:00",27345.31
"2021-11-16 09:00:00",27452.33
"2021-11-16 10:00:00",26927.08
"2021-11-16 11:00:00",26986.65
"2021-11-16 12:00:00",27242.67
"2021-11-16 13:00:00",26845.07
"2021-11-16 14:00:00",27164.15
"2021-11-16 15:00:00",28705.38
"2021-11-16 16:00:00",29633.76
"2021-11-16 17:00:00",31043.69
"2021-11-16 18:00:00",28615.33
"2021-11-16 19:00:00",28258.09
"2021-11-16 20:00:00",28415.19
"2021-11-16 21:00:00",27935.54
"2021-11-16 22:00:00",28335.99
"2021-11-16 23:00:00",28378.89
"2021-11-17 00:00:00",30539.52
"2021-11-17 01:00:00",30362.53
"2021-11-17 02:00:00",30049.35
"2021-11-17 03:00:00",32776.06
"2021-11-17 04:00:00",32662.72
"2021-11-17 05:00:00",27839.28
"2021-11-17 06:00:00",29675.24
"2021-11-17 07:00:00",29602.46
"2021-11-17 08:00:00",62881.16
"2021-11-17 09:00:00",63017.7
"2021-11-17 10:00:00",62004.77
"2021-11-17 11:00:00",63432
"2021-11-17 12:00:00",62755.32
"2021-11-17 13:00:00",62693.02
"2021-11-17 14:00:00",63291.65
"2021-11-17 15:00:00",62518.68
"2021-11-17 16:00:00",58352.89
"2021-11-17 17:00:00",59220.14
"2021-11-17 18:00:00",59210.38
"2021-11-17 19:00:00",60644.72
"2021-11-17 20:00:00",61644.52
