"TIME (Europe/Berlin)","Volume","Fees"
"2021-11-13 14:00:00",540.29,1.62087
"2021-11-13 15:00:00",2215.56,6.64668
"2021-11-13 16:00:00",781.32,2.34396
"2021-11-13 17:00:00",500.18,1.50054
"2021-11-13 18:00:00",0,0
"2021-11-13 19:00:00",0,0
"2021-11-13 20:00:00",0,0
"2021-11-13 21:00:00",0,0
"2021-11-13 22:00:00",460.46,1.38138
"2021-11-13 23:00:00",0,0
"2021-11-14 00:00:00",0,0
"2021-11-14 01:00:00",0,0
"2021-11-14 02:00:00",0,0
"2021-11-14 03:00:00",0,0
"2021-11-14 04:00:00",0,0
"2021-11-14 05:00:00",0,0
"2021-11-14 06:00:00",0,0
"2021-11-14 07:00:00",0,0
"2021-11-14 08:00:00",0,0
"2021-11-14 09:00:00",0,0
"2021-11-14 10:00:00",332.72,0.99816
"2021-11-14 11:00:00",1275.85,3.82755
"2021-11-14 12:00:00",1135.04,3.40512
"2021-11-14 13:00:00",0,0
"2021-11-14 14:00:00",0,0
"2021-11-14 15:00:00",0,0
"2021-11-14 16:00:00",745.54,2.23662
"2021-11-14 17:00:00",0,0
"2021-11-14 18:00:00",0,0
"2021-11-14 19:00:00",0,0
"2021-11-14 20:00:00",0,0
"2021-11-14 21:00:00",1139.7,3.4191000000000003
"2021-11-14 22:00:00",0,0
"2021-11-14 23:00:00",0,0
"2021-11-15 00:00:00",0,0
"2021-11-15 01:00:00",0,0
"2021-11-15 02:00:00",0,0
"2021-11-15 03:00:00",0,0
"2021-11-15 04:00:00",0,0
"2021-11-15 05:00:00",0,0
"2021-11-15 06:00:00",0,0
"2021-11-15 07:00:00",0,0
"2021-11-15 08:00:00",0,0
"2021-11-15 09:00:00",0,0
"2021-11-15 10:00:00",0,0
"2021-11-15 11:00:00",0,0
"2021-11-15 12:00:00",0,0
"2021-11-15 13:00:00",0,0
"2021-11-15 14:00:00",0,0
"2021-11-15 15:00:00",1927.41,5.78223
"2021-11-15 16:00:00",0,0
"2021-11-15 17:00:00",0,0
"2021-11-15 18:00:00",0,0
"2021-11-15 19:00:00",0,0
"2021-11-15 20:00:00",0,0
"2021-11-15 21:00:00",0,0
"2021-11-15 22:00:00",1366.44,4.0993200000000005
"2021-11-15 23:00:00",0,0
"2021-11-16 00:00:00",0,0
"2021-11-16 01:00:00",1510.78,4.53234
"2021-11-16 02:00:00",0,0
"2021-11-16 03:00:00",0,0
"2021-11-16 04:00:00",0,0
"2021-11-16 05:00:00",0,0
"2021-11-16 06:00:00",0,0
"2021-11-16 07:00:00",607.58,1.8227400000000002
"2021-11-16 08:00:00",0,0
"2021-11-16 09:00:00",0,0
"2021-11-16 10:00:00",0,0
"2021-11-16 11:00:00",0,0
"2021-11-16 12:00:00",0,0
"2021-11-16 13:00:00",0,0
"2021-11-16 14:00:00",0,0
"2021-11-16 15:00:00",654.92,1.9647599999999998
"2021-11-16 16:00:00",551.24,1.65372
"2021-11-16 17:00:00",603.13,1.80939
"2021-11-16 18:00:00",1054.44,3.16332
"2021-11-16 19:00:00",0,0
"2021-11-16 20:00:00",0,0
